time,supply_temp,Speed,occupancy
14.11.2020 15:26:23,42.2,134,2
14.11.2020 15:26:24,42.3,149,2
14.11.2020 15:26:25,42.6,161,2
14.11.2020 15:26:26,42.6,151,2
14.11.2020 15:26:27,42.5,139,2
14.11.2020 15:26:28,42.6,137,2
14.11.2020 15:26:29,42.6,135,2
14.11.2020 15:26:30,42.7,140,2
14.11.2020 15:26:31,42.7,134,2
14.11.2020 15:26:32,42.7,132,2
14.11.2020 15:26:33,42.8,140,2
14.11.2020 15:26:34,42.9,141,2
14.11.2020 15:26:35,43.1,155,2
14.11.2020 15:26:36,43.1,144,2
14.11.2020 15:26:37,43,137,2
14.11.2020 15:26:38,43,132,2
14.11.2020 15:26:39,43,129,2
14.11.2020 15:26:40,43.1,144,2
14.11.2020 15:26:41,43.2,142,2
14.11.2020 15:26:42,43.1,131,2
14.11.2020 15:26:43,43.1,128,2
14.11.2020 15:26:44,43.2,145,2
14.11.2020 15:26:45,43.3,156,2
14.11.2020 15:26:46,43.4,150,2
14.11.2020 15:26:47,43.6,161,2
14.11.2020 15:26:48,43.7,155,2
14.11.2020 15:26:49,43.6,145,2
14.11.2020 15:26:50,43.6,141,2
14.11.2020 15:26:51,43.6,133,2
14.11.2020 15:26:52,43.6,133,2
14.11.2020 15:26:53,43.6,134,2
14.11.2020 15:26:54,43.6,127,2
14.11.2020 15:26:55,43.7,129,2
14.11.2020 15:26:56,43.7,125,2
14.11.2020 15:26:57,43.6,124,2
14.11.2020 15:26:58,43.6,126,2
14.11.2020 15:26:59,43.8,128,2
14.11.2020 15:27:00,43.8,132,2
14.11.2020 15:27:01,43.8,126,2
14.11.2020 15:27:02,44,129,2
14.11.2020 15:27:03,43.9,132,2
14.11.2020 15:27:04,44,136,2
14.11.2020 15:27:05,44,132,2
14.11.2020 15:27:06,44.1,130,2
14.11.2020 15:27:07,44.1,129,2
14.11.2020 15:27:08,44.2,128,2
14.11.2020 15:27:09,44.2,128,2
14.11.2020 15:27:10,44.4,137,2
14.11.2020 15:27:11,44.4,133,2
14.11.2020 15:27:12,44.4,127,2
14.11.2020 15:27:13,44.4,129,2
14.11.2020 15:27:14,44.5,132,2
14.11.2020 15:27:15,44.5,137,2
14.11.2020 15:27:16,44.6,136,2
14.11.2020 15:27:17,44.6,138,2
14.11.2020 15:27:18,44.6,133,2
14.11.2020 15:27:19,44.6,131,2
14.11.2020 15:27:20,44.6,128,2
14.11.2020 15:27:21,44.8,138,2
14.11.2020 15:27:22,45,159,2
14.11.2020 15:27:23,45.3,174,2
14.11.2020 15:27:24,45.5,179,2
14.11.2020 15:27:25,45.7,177,2
